CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Abnormal glucose,5,0.0146627566,0.002496255617
Herbal/Botanicals,Phytonutrients,Resveratrol,,Resveratrol,Abnormal glucose,5,0.03816793893,0.002496255617
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Abnormal glucose,5,0.02702702703,0.002496255617
Vitamins & minerals,Complexes & combos,ADK/E,,ADK/E,Abnormal glucose,4,0.01257861635,0.001997004493
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,Abnormal glucose,4,0.002751031637,0.001997004493
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Abnormal glucose,4,0.004115226337,0.001997004493
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Abnormal glucose,4,0.007984031936,0.001997004493
Conditions & formulations,Endocrine & hormonal health,Hormone balance support,,Hormone balance support,Abnormal glucose,4,0.0193236715,0.001997004493
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Abnormal glucose,4,0.01066666667,0.001997004493
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Abnormal glucose,4,0.002652519894,0.001997004493
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Abnormal glucose,3,0.005102040816,0.00149775337
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Butyrate,Butyrate,Abnormal glucose,3,0.01960784314,0.00149775337
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Abnormal glucose,3,0.004098360656,0.00149775337
Conditions & formulations,Gastrointestinal health,Digestive support,,Digestive support,Abnormal glucose,3,0.009554140127,0.00149775337
Herbal/Botanicals,Herbs,Fenugreek,,Fenugreek,Abnormal glucose,3,0.1363636364,0.00149775337
Conditions & formulations,Immune & inflammatory health,Immune support,,Immune support,Abnormal glucose,3,0.007425742574,0.00149775337
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Abnormal glucose,3,0.001174168297,0.00149775337
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,Abnormal glucose,3,0.008021390374,0.00149775337
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Abnormal glucose,3,0.01442307692,0.00149775337
Vitamins & minerals,Minerals,Chromium,Other chromium,Other chromium,Abnormal glucose,3,0.3,0.00149775337
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Other vitamin B1,Other vitamin B1,Abnormal glucose,3,0.08333333333,0.00149775337
Herbal/Botanicals,Herbs,Red yeast rice,,Red yeast rice,Abnormal glucose,3,0.004273504274,0.00149775337
Herbal/Botanicals,Mushrooms,Reishi,,Reishi,Abnormal glucose,3,0.08571428571,0.00149775337
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Abnormal glucose,3,0.006849315068,0.00149775337
Nutritional supplements,Amino acids,Base amino acids,Taurine,Taurine,Abnormal glucose,3,0.03,0.00149775337
Conditions & formulations,Women's health,Women's fertility support,,Women's fertility support,Abnormal glucose,3,0.01639344262,0.00149775337
Nutritional supplements,Enzymes,Digestive enzymes,Bile,Bile,Abnormal glucose,2,0.01162790698,0.0009985022466
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Abnormal glucose,2,0.006557377049,0.0009985022466
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Abnormal glucose,2,0.00487804878,0.0009985022466
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Abnormal glucose,2,0.007380073801,0.0009985022466
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Abnormal glucose,2,0.005917159763,0.0009985022466
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,Abnormal glucose,2,0.01226993865,0.0009985022466
Conditions & formulations,Gastrointestinal health,Gallbladder support,,Gallbladder support,Abnormal glucose,2,0.008298755187,0.0009985022466
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Abnormal glucose,2,0.006153846154,0.0009985022466
Nutritional supplements,Amino acids,Base amino acids,Glycine,Glycine,Abnormal glucose,2,0.01162790698,0.0009985022466
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Abnormal glucose,2,0.003448275862,0.0009985022466
Vitamins & minerals,Minerals,Magnesium,Magnesium citrate,Magnesium citrate,Abnormal glucose,2,0.002197802198,0.0009985022466
Vitamins & minerals,Minerals,Magnesium,Magnesium oxide,Magnesium oxide,Abnormal glucose,2,0.008695652174,0.0009985022466
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Abnormal glucose,2,0.003372681282,0.0009985022466
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Methylcobalamin,Methylcobalamin,Abnormal glucose,2,0.003745318352,0.0009985022466
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Abnormal glucose,2,0.001452432825,0.0009985022466
Nutritional supplements,Collagen & protein,Whey & animal protein,Other animal proteins,Other animal proteins,Abnormal glucose,2,0.06060606061,0.0009985022466
Herbal/Botanicals,Phytonutrients,Flavonoids,Other flavonoids,Other flavonoids,Abnormal glucose,2,0.01265822785,0.0009985022466
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Pentadecanoic acid,Pentadecanoic acid,Abnormal glucose,2,0.1538461538,0.0009985022466
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylserine,,Phosphatidylserine,Abnormal glucose,2,0.01025641026,0.0009985022466
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,Abnormal glucose,2,0.004301075269,0.0009985022466
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Abnormal glucose,2,0.004424778761,0.0009985022466
Nutritional supplements,Amino acids,Base amino acids,5-HTP,5-HTP,Abnormal glucose,1,0.005813953488,0.0004992511233
Nutritional supplements,Hormones & glandulars,Glandulars,Adrenal glandulars,Adrenal glandulars,Abnormal glucose,1,0.003484320557,0.0004992511233
Herbal/Botanicals,Herbs,Garlic (Allicin),Aged garlic,Aged garlic,Abnormal glucose,1,0.01030927835,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,Abnormal glucose,1,0.009900990099,0.0004992511233
Herbal/Botanicals,Herbs,Artemisia (Wormwood),,Artemisia (Wormwood),Abnormal glucose,1,0.03333333333,0.0004992511233
Personal care & healthy living,Bath & body care,Soaps & bath,Bath care,Bath care,Abnormal glucose,1,0.07692307692,0.0004992511233
Conditions & formulations,Cardiometabolic health,Blood pressure support,,Blood pressure support,Abnormal glucose,1,0.004310344828,0.0004992511233
Nutritional supplements,Enzymes,Digestive enzymes,Bromelain,Bromelain,Abnormal glucose,1,0.02702702703,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,CLA,CLA,Abnormal glucose,1,0.1666666667,0.0004992511233
Vitamins & minerals,Minerals,Calcium,Calcium citrate,Calcium citrate,Abnormal glucose,1,0.008,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Caprylate,Caprylate,Abnormal glucose,1,0.01785714286,0.0004992511233
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,Abnormal glucose,1,0.004504504505,0.0004992511233
Nutritional supplements,Amino acids,Peptides,Carnosine,Carnosine,Abnormal glucose,1,0.2,0.0004992511233
Nutritional supplements,Other metabolites & bioactive compounds,Charcoal,,Charcoal,Abnormal glucose,1,0.01785714286,0.0004992511233
Conditions & formulations,Children's health,Children's growth support,,Children's growth support,Abnormal glucose,1,0.0303030303,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,Abnormal glucose,1,0.006622516556,0.0004992511233
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,D-chiro-inositol,D-chiro-inositol,Abnormal glucose,1,0.25,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Fish oil,DHA-dominant,DHA-dominant,Abnormal glucose,1,0.004032258065,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Evening primrose oil,Evening primrose oil,Abnormal glucose,1,0.0125,0.0004992511233
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Abnormal glucose,1,0.0009233610342,0.0004992511233
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Abnormal glucose,1,0.01785714286,0.0004992511233
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,Abnormal glucose,1,0.01492537313,0.0004992511233
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Abnormal glucose,1,0.00243902439,0.0004992511233
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Hydroxocobalamin,Hydroxocobalamin,Abnormal glucose,1,0.07142857143,0.0004992511233
Personal care & healthy living,Feminine care,Intimate care products,,Intimate care products,Abnormal glucose,1,0.008196721311,0.0004992511233
Nutritional supplements,Prebiotics & fibers,Inulin,,Inulin,Abnormal glucose,1,0.0625,0.0004992511233
Vitamins & minerals,Minerals,Iodine,Kelp/Seaweed iodides,Kelp/Seaweed iodides,Abnormal glucose,1,0.03571428571,0.0004992511233
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria (single-strain),Lacto-bifidobacteria (single-strain),Abnormal glucose,1,0.006024096386,0.0004992511233
Herbal/Botanicals,Phytonutrients,Carotenoids,Lutein & zeaxanthin,Lutein & zeaxanthin,Abnormal glucose,1,0.04166666667,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,MCTs,MCTs,Abnormal glucose,1,0.01492537313,0.0004992511233
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Abnormal glucose,1,0.008403361345,0.0004992511233
Vitamins & minerals,Minerals,Other minerals,Manganese,Manganese,Abnormal glucose,1,0.1666666667,0.0004992511233
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,Abnormal glucose,1,0.001779359431,0.0004992511233
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,Abnormal glucose,1,0.002325581395,0.0004992511233
Herbal/Botanicals,Herbs,Milk thistle,,Milk thistle,Abnormal glucose,1,0.00462962963,0.0004992511233
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Abnormal glucose,1,0.003937007874,0.0004992511233
Homeopathy,Homeopathic remedies,Musculoskeletal support (Homeopathic),,Musculoskeletal support (Homeopathic),Abnormal glucose,1,0.03448275862,0.0004992511233
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NADH,NADH,Abnormal glucose,1,0.1,0.0004992511233
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NMN,NMN,Abnormal glucose,1,0.01315789474,0.0004992511233
Conditions & formulations,"Eye, ear, nose, & throat health",Nasal & sinus support,,Nasal & sinus support,Abnormal glucose,1,0.006944444444,0.0004992511233
Nutritional supplements,Enzymes,Systemic enzymes,Nattokinase,Nattokinase,Abnormal glucose,1,0.008,0.0004992511233
Herbal/Botanicals,Herbs,Olive leaf,,Olive leaf,Abnormal glucose,1,0.01492537313,0.0004992511233
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Abnormal glucose,1,0.006097560976,0.0004992511233
Vitamins & minerals,Minerals,Iron,Other iron,Other iron,Abnormal glucose,1,0.001706484642,0.0004992511233
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Abnormal glucose,1,0.009174311927,0.0004992511233
Nutritional supplements,Collagen & protein,Plant protein,Other plant proteins,Other plant proteins,Abnormal glucose,1,0.01754385965,0.0004992511233
Vitamins & minerals,Minerals,Potassium,Other potassium,Other potassium,Abnormal glucose,1,0.09090909091,0.0004992511233
Vitamins & minerals,Vitamins,Vitamin A,Other vitamin A,Other vitamin A,Abnormal glucose,1,0.03846153846,0.0004992511233
Vitamins & minerals,Vitamins,Vitamin C,Other vitamin C,Other vitamin C,Abnormal glucose,1,0.025,0.0004992511233
Nutritional supplements,Prebiotics & fibers,Pectins,,Pectins,Abnormal glucose,1,0.01818181818,0.0004992511233
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylcholine,,Phosphatidylcholine,Abnormal glucose,1,0.006024096386,0.0004992511233
Vitamins & minerals,Complexes & combos,Potassium & magnesium,,Potassium & magnesium,Abnormal glucose,1,0.03846153846,0.0004992511233
Vitamins & minerals,Minerals,Iodine,Potassium iodide,Potassium iodide,Abnormal glucose,1,0.01041666667,0.0004992511233
Nutritional supplements,Hormones & glandulars,Pregnenolone,,Pregnenolone,Abnormal glucose,1,0.006172839506,0.0004992511233
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Abnormal glucose,1,0.004115226337,0.0004992511233
Vitamins & minerals,Vitamins,Vitamin A,Retinyl palmitate,Retinyl palmitate,Abnormal glucose,1,0.01369863014,0.0004992511233
Nutritional supplements,Collagen & protein,Plant protein,Rice proteins,Rice proteins,Abnormal glucose,1,0.1,0.0004992511233
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,Abnormal glucose,1,0.003816793893,0.0004992511233
Nutritional supplements,Probiotics,Saccharomyces,,Saccharomyces,Abnormal glucose,1,0.002433090024,0.0004992511233
Herbal/Botanicals,Herbs,Saw palmetto,,Saw palmetto,Abnormal glucose,1,0.01123595506,0.0004992511233
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,Abnormal glucose,1,0.006993006993,0.0004992511233
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Abnormal glucose,1,0.001215066829,0.0004992511233
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Spirulina,Spirulina,Abnormal glucose,1,0.09090909091,0.0004992511233
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,Abnormal glucose,1,0.001501501502,0.0004992511233
Vitamins & minerals,Minerals,Strontium,Strontium citrate,Strontium citrate,Abnormal glucose,1,0.01492537313,0.0004992511233
Conditions & formulations,Endocrine & hormonal health,Testosterone support,,Testosterone support,Abnormal glucose,1,0.007575757576,0.0004992511233
Vitamins & minerals,Vitamins,Vitamin B7 (Biotin),,Vitamin B7 (Biotin),Abnormal glucose,1,0.01785714286,0.0004992511233
Herbal/Botanicals,Herbs,Vitex (Chasteberry),,Vitex (Chasteberry),Abnormal glucose,1,0.004098360656,0.0004992511233
Homeopathy,Homeopathic remedies,Weight management (Homeopathic),,Weight management (Homeopathic),Abnormal glucose,1,0.25,0.0004992511233
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Abnormal glucose,1,0.003802281369,0.0004992511233
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Abnormal lactation,2,0.002057613169,0.05882352941
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Abnormal lactation,2,0.001834862385,0.05882352941
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Abnormal lactation,2,0.004566210046,0.05882352941
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Abnormal lactation,2,0.000348189415,0.05882352941
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Abnormal lactation,1,0.0003407155026,0.02941176471
Herbal/Botanicals,Herbs,Bacopa,,Bacopa,Abnormal lactation,1,0.02702702703,0.02941176471
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Abnormal lactation,1,0.0003725782414,0.02941176471
Nutritional supplements,Enzymes,Digestive enzymes,Bile,Bile,Abnormal lactation,1,0.005813953488,0.02941176471
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Abnormal lactation,1,0.003278688525,0.02941176471
Conditions & formulations,Women's health,Breast & lactation support,,Breast & lactation support,Abnormal lactation,1,0.05555555556,0.02941176471
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Abnormal lactation,1,0.008,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,Charcoal,,Charcoal,Abnormal lactation,1,0.01785714286,0.02941176471
Nutritional supplements,Probiotics,Children's probiotics,,Children's probiotics,Abnormal lactation,1,0.008928571429,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,Choline,,Choline,Abnormal lactation,1,0.01538461538,0.02941176471
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Abnormal lactation,1,0.0006910850035,0.02941176471
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Abnormal lactation,1,0.001897533207,0.02941176471
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Abnormal lactation,1,0.000253164557,0.02941176471
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Abnormal lactation,1,0.008403361345,0.02941176471
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Abnormal lactation,1,0.0007262164125,0.02941176471
Conditions & formulations,Neurocognitive health & sleep,Mood support,,Mood support,Abnormal lactation,1,0.006211180124,0.02941176471
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Abnormal lactation,1,0.001047120419,0.02941176471
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Abnormal lactation,1,0.0004692632567,0.02941176471
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,Abnormal lactation,1,0.005882352941,0.02941176471
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Other plant omegas,Other plant omegas,Abnormal lactation,1,0.01724137931,0.02941176471
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Abnormal lactation,1,0.01351351351,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,PQQ,,PQQ,Abnormal lactation,1,0.07692307692,0.02941176471
Conditions & formulations,Immune & inflammatory health,Seasonal support,,Seasonal support,Abnormal lactation,1,0.002638522427,0.02941176471
Conditions & formulations,Endocrine & hormonal health,Thyroid support,,Thyroid support,Abnormal lactation,1,0.001342281879,0.02941176471
Vitamins & minerals,Complexes & combos,Vitamin B12 & folate,,Vitamin B12 & folate,Abnormal lactation,1,0.001831501832,0.02941176471
Vitamins & minerals,Vitamins,Vitamin K,Vitamin K2 (Menaquinone) - MK4,Vitamin K2 (Menaquinone) - MK4,Abnormal lactation,1,0.03846153846,0.02941176471
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Abnormal weight gain,127,0.04731743666,0.1508313539
Conditions & formulations,Cardiometabolic health,Weight management support,Healthy weight support,Healthy weight support,Abnormal weight gain,81,0.4602272727,0.09619952494
Conditions & formulations,Cardiometabolic health,Weight management support,GLP-1 nutrient support,GLP-1 nutrient support,Abnormal weight gain,55,0.2669902913,0.06532066508
Nutritional supplements,Prebiotics & fibers,Other prebiotics & fibers,,Other prebiotics & fibers,Abnormal weight gain,52,0.08306709265,0.06175771971
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Abnormal weight gain,49,0.03386316517,0.05819477435
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),Abnormal weight gain,20,0.1129943503,0.02375296912
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Abnormal weight gain,18,0.03592814371,0.02137767221
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Abnormal weight gain,16,0.00278551532,0.0190023753
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Abnormal weight gain,14,0.004770017036,0.01662707838
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Abnormal weight gain,14,0.02578268877,0.01662707838
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Abnormal weight gain,14,0.01353965184,0.01662707838
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Abnormal weight gain,13,0.01775956284,0.01543942993
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Abnormal weight gain,12,0.004548900682,0.01425178147
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,Abnormal weight gain,12,0.03592814371,0.01425178147
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Abnormal weight gain,11,0.01009174312,0.01306413302
Nutritional supplements,Collagen & protein,Plant protein,Other plant proteins,Other plant proteins,Abnormal weight gain,11,0.1929824561,0.01306413302
Conditions & formulations,Cardiometabolic health,Blood sugar support,,Blood sugar support,Abnormal weight gain,9,0.01785714286,0.0106888361
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Abnormal weight gain,9,0.00688599847,0.0106888361
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Abnormal weight gain,9,0.024,0.0106888361
Nutritional supplements,Collagen & protein,Whey & animal protein,Whey isolate,Whey isolate,Abnormal weight gain,9,0.1636363636,0.0106888361
Nutritional supplements,Amino acids,Amino compounds,Carnitine,Carnitine,Abnormal weight gain,8,0.05128205128,0.009501187648
Nutritional supplements,Probiotics,Other probiotic species,,Other probiotic species,Abnormal weight gain,8,0.1025641026,0.009501187648
Conditions & formulations,Endocrine & hormonal health,Thyroid support,,Thyroid support,Abnormal weight gain,8,0.01073825503,0.009501187648
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Abnormal weight gain,7,0.006463527239,0.008313539192
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Abnormal weight gain,7,0.003284842797,0.008313539192
