CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,HEALTH_AREA,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Abnormal glucose,Blood Sugar Support,4,0.004098360656,0.001995012469
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Abnormal glucose,Blood Sugar Support,4,0.007936507937,0.001995012469
Conditions & formulations,Endocrine & hormonal health,Hormone balance support,,Hormone balance support,Abnormal glucose,Blood Sugar Support,4,0.0193236715,0.001995012469
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Abnormal glucose,Blood Sugar Support,4,0.01061007958,0.001995012469
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Abnormal glucose,Blood Sugar Support,4,0.002628120894,0.001995012469
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Abnormal glucose,Blood Sugar Support,3,0.005084745763,0.001496259352
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Butyrate,Butyrate,Abnormal glucose,Blood Sugar Support,3,0.01960784314,0.001496259352
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Abnormal glucose,Blood Sugar Support,3,0.004076086957,0.001496259352
Conditions & formulations,Gastrointestinal health,Digestive support,,Digestive support,Abnormal glucose,Blood Sugar Support,3,0.009493670886,0.001496259352
Herbal/Botanicals,Herbs,Fenugreek,,Fenugreek,Abnormal glucose,Blood Sugar Support,3,0.1363636364,0.001496259352
Conditions & formulations,Immune & inflammatory health,Immune support,,Immune support,Abnormal glucose,Blood Sugar Support,3,0.007425742574,0.001496259352
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Abnormal glucose,Blood Sugar Support,3,0.001165954139,0.001496259352
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,Abnormal glucose,Blood Sugar Support,3,0.008,0.001496259352
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Abnormal glucose,Blood Sugar Support,3,0.01442307692,0.001496259352
Vitamins & minerals,Minerals,Chromium,Other chromium,Other chromium,Abnormal glucose,Blood Sugar Support,3,0.2727272727,0.001496259352
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Other vitamin B1,Other vitamin B1,Abnormal glucose,Blood Sugar Support,3,0.08333333333,0.001496259352
Herbal/Botanicals,Herbs,Red yeast rice,,Red yeast rice,Abnormal glucose,Blood Sugar Support,3,0.004249291785,0.001496259352
Herbal/Botanicals,Mushrooms,Reishi,,Reishi,Abnormal glucose,Blood Sugar Support,3,0.08571428571,0.001496259352
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Abnormal glucose,Blood Sugar Support,3,0.006787330317,0.001496259352
Nutritional supplements,Amino acids,Base amino acids,Taurine,Taurine,Abnormal glucose,Blood Sugar Support,3,0.0297029703,0.001496259352
Conditions & formulations,Women's health,Women's fertility support,,Women's fertility support,Abnormal glucose,Blood Sugar Support,3,0.01630434783,0.001496259352
Nutritional supplements,Enzymes,Digestive enzymes,Bile,Bile,Abnormal glucose,Blood Sugar Support,2,0.01162790698,0.0009975062344
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Abnormal glucose,Blood Sugar Support,2,0.00651465798,0.0009975062344
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Abnormal glucose,Blood Sugar Support,2,0.004842615012,0.0009975062344
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Abnormal glucose,Blood Sugar Support,2,0.007352941176,0.0009975062344
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Abnormal glucose,Blood Sugar Support,2,0.005865102639,0.0009975062344
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,Abnormal glucose,Blood Sugar Support,2,0.01212121212,0.0009975062344
Conditions & formulations,Gastrointestinal health,Gallbladder support,,Gallbladder support,Abnormal glucose,Blood Sugar Support,2,0.00826446281,0.0009975062344
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Abnormal glucose,Blood Sugar Support,2,0.006097560976,0.0009975062344
Nutritional supplements,Amino acids,Base amino acids,Glycine,Glycine,Abnormal glucose,Blood Sugar Support,2,0.01142857143,0.0009975062344
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Abnormal glucose,Blood Sugar Support,2,0.003418803419,0.0009975062344
Vitamins & minerals,Minerals,Magnesium,Magnesium citrate,Magnesium citrate,Abnormal glucose,Blood Sugar Support,2,0.002195389682,0.0009975062344
Vitamins & minerals,Minerals,Magnesium,Magnesium oxide,Magnesium oxide,Abnormal glucose,Blood Sugar Support,2,0.008474576271,0.0009975062344
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Abnormal glucose,Blood Sugar Support,2,0.003322259136,0.0009975062344
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Methylcobalamin,Methylcobalamin,Abnormal glucose,Blood Sugar Support,2,0.003724394786,0.0009975062344
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Abnormal glucose,Blood Sugar Support,2,0.00145137881,0.0009975062344
Nutritional supplements,Collagen & protein,Whey & animal protein,Other animal proteins,Other animal proteins,Abnormal glucose,Blood Sugar Support,2,0.06060606061,0.0009975062344
Herbal/Botanicals,Phytonutrients,Flavonoids,Other flavonoids,Other flavonoids,Abnormal glucose,Blood Sugar Support,2,0.01265822785,0.0009975062344
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Pentadecanoic acid,Pentadecanoic acid,Abnormal glucose,Blood Sugar Support,2,0.1538461538,0.0009975062344
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylserine,,Phosphatidylserine,Abnormal glucose,Blood Sugar Support,2,0.01020408163,0.0009975062344
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,Abnormal glucose,Blood Sugar Support,2,0.004282655246,0.0009975062344
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Abnormal glucose,Blood Sugar Support,2,0.004385964912,0.0009975062344
Nutritional supplements,Amino acids,Base amino acids,5-HTP,5-HTP,Abnormal glucose,Blood Sugar Support,1,0.005813953488,0.0004987531172
Nutritional supplements,Hormones & glandulars,Glandulars,Adrenal glandulars,Adrenal glandulars,Abnormal glucose,Blood Sugar Support,1,0.003460207612,0.0004987531172
Herbal/Botanicals,Herbs,Garlic (Allicin),Aged garlic,Aged garlic,Abnormal glucose,Blood Sugar Support,1,0.01020408163,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,Abnormal glucose,Blood Sugar Support,1,0.009523809524,0.0004987531172
Herbal/Botanicals,Herbs,Artemisia (Wormwood),,Artemisia (Wormwood),Abnormal glucose,Blood Sugar Support,1,0.03333333333,0.0004987531172
Personal care & healthy living,Bath & body care,Soaps & bath,Bath care,Bath care,Abnormal glucose,Blood Sugar Support,1,0.07692307692,0.0004987531172
Conditions & formulations,Cardiometabolic health,Blood pressure support,,Blood pressure support,Abnormal glucose,Blood Sugar Support,1,0.004255319149,0.0004987531172
Nutritional supplements,Enzymes,Digestive enzymes,Bromelain,Bromelain,Abnormal glucose,Blood Sugar Support,1,0.02702702703,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,CLA,CLA,Abnormal glucose,Blood Sugar Support,1,0.1666666667,0.0004987531172
Vitamins & minerals,Minerals,Calcium,Calcium citrate,Calcium citrate,Abnormal glucose,Blood Sugar Support,1,0.008,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Caprylate,Caprylate,Abnormal glucose,Blood Sugar Support,1,0.01785714286,0.0004987531172
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,Abnormal glucose,Blood Sugar Support,1,0.004484304933,0.0004987531172
Nutritional supplements,Amino acids,Peptides,Carnosine,Carnosine,Abnormal glucose,Blood Sugar Support,1,0.2,0.0004987531172
Nutritional supplements,Other metabolites & bioactive compounds,Charcoal,,Charcoal,Abnormal glucose,Blood Sugar Support,1,0.01785714286,0.0004987531172
Conditions & formulations,Children's health,Children's growth support,,Children's growth support,Abnormal glucose,Blood Sugar Support,1,0.0303030303,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Fish oil,Cod liver oil,Cod liver oil,Abnormal glucose,Blood Sugar Support,1,0.006578947368,0.0004987531172
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,D-chiro-inositol,D-chiro-inositol,Abnormal glucose,Blood Sugar Support,1,0.25,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Fish oil,DHA-dominant,DHA-dominant,Abnormal glucose,Blood Sugar Support,1,0.004032258065,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Evening primrose oil,Evening primrose oil,Abnormal glucose,Blood Sugar Support,1,0.0125,0.0004987531172
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Abnormal glucose,Blood Sugar Support,1,0.0009165902841,0.0004987531172
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Abnormal glucose,Blood Sugar Support,1,0.01785714286,0.0004987531172
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,Abnormal glucose,Blood Sugar Support,1,0.01492537313,0.0004987531172
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Abnormal glucose,Blood Sugar Support,1,0.002421307506,0.0004987531172
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Hydroxocobalamin,Hydroxocobalamin,Abnormal glucose,Blood Sugar Support,1,0.07142857143,0.0004987531172
Personal care & healthy living,Feminine care,Intimate care products,,Intimate care products,Abnormal glucose,Blood Sugar Support,1,0.008130081301,0.0004987531172
Nutritional supplements,Prebiotics & fibers,Inulin,,Inulin,Abnormal glucose,Blood Sugar Support,1,0.0625,0.0004987531172
Vitamins & minerals,Minerals,Iodine,Kelp/Seaweed iodides,Kelp/Seaweed iodides,Abnormal glucose,Blood Sugar Support,1,0.03571428571,0.0004987531172
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria (single-strain),Lacto-bifidobacteria (single-strain),Abnormal glucose,Blood Sugar Support,1,0.005952380952,0.0004987531172
Herbal/Botanicals,Phytonutrients,Carotenoids,Lutein & zeaxanthin,Lutein & zeaxanthin,Abnormal glucose,Blood Sugar Support,1,0.04166666667,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,MCTs,MCTs,Abnormal glucose,Blood Sugar Support,1,0.01428571429,0.0004987531172
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Abnormal glucose,Blood Sugar Support,1,0.008403361345,0.0004987531172
Vitamins & minerals,Minerals,Other minerals,Manganese,Manganese,Abnormal glucose,Blood Sugar Support,1,0.1666666667,0.0004987531172
Nutritional supplements,Hormones & glandulars,Melatonin,,Melatonin,Abnormal glucose,Blood Sugar Support,1,0.001779359431,0.0004987531172
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,Abnormal glucose,Blood Sugar Support,1,0.002309468822,0.0004987531172
Herbal/Botanicals,Herbs,Milk thistle,,Milk thistle,Abnormal glucose,Blood Sugar Support,1,0.004587155963,0.0004987531172
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Abnormal glucose,Blood Sugar Support,1,0.003875968992,0.0004987531172
Homeopathy,Homeopathic remedies,Musculoskeletal support (Homeopathic),,Musculoskeletal support (Homeopathic),Abnormal glucose,Blood Sugar Support,1,0.03448275862,0.0004987531172
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NADH,NADH,Abnormal glucose,Blood Sugar Support,1,0.1,0.0004987531172
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NMN,NMN,Abnormal glucose,Blood Sugar Support,1,0.01298701299,0.0004987531172
Conditions & formulations,"Eye, ear, nose, & throat health",Nasal & sinus support,,Nasal & sinus support,Abnormal glucose,Blood Sugar Support,1,0.006896551724,0.0004987531172
Nutritional supplements,Enzymes,Systemic enzymes,Nattokinase,Nattokinase,Abnormal glucose,Blood Sugar Support,1,0.008,0.0004987531172
Herbal/Botanicals,Herbs,Olive leaf,,Olive leaf,Abnormal glucose,Blood Sugar Support,1,0.01492537313,0.0004987531172
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Abnormal glucose,Blood Sugar Support,1,0.006097560976,0.0004987531172
Vitamins & minerals,Minerals,Iron,Other iron,Other iron,Abnormal glucose,Blood Sugar Support,1,0.001697792869,0.0004987531172
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Abnormal glucose,Blood Sugar Support,1,0.009174311927,0.0004987531172
Nutritional supplements,Collagen & protein,Plant protein,Other plant proteins,Other plant proteins,Abnormal glucose,Blood Sugar Support,1,0.01754385965,0.0004987531172
Vitamins & minerals,Minerals,Potassium,Other potassium,Other potassium,Abnormal glucose,Blood Sugar Support,1,0.09090909091,0.0004987531172
Vitamins & minerals,Vitamins,Vitamin A,Other vitamin A,Other vitamin A,Abnormal glucose,Blood Sugar Support,1,0.03846153846,0.0004987531172
Vitamins & minerals,Vitamins,Vitamin C,Other vitamin C,Other vitamin C,Abnormal glucose,Blood Sugar Support,1,0.025,0.0004987531172
Nutritional supplements,Prebiotics & fibers,Pectins,,Pectins,Abnormal glucose,Blood Sugar Support,1,0.01818181818,0.0004987531172
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylcholine,,Phosphatidylcholine,Abnormal glucose,Blood Sugar Support,1,0.005988023952,0.0004987531172
Vitamins & minerals,Complexes & combos,Potassium & magnesium,,Potassium & magnesium,Abnormal glucose,Blood Sugar Support,1,0.03703703704,0.0004987531172
Vitamins & minerals,Minerals,Iodine,Potassium iodide,Potassium iodide,Abnormal glucose,Blood Sugar Support,1,0.01041666667,0.0004987531172
Nutritional supplements,Hormones & glandulars,Pregnenolone,,Pregnenolone,Abnormal glucose,Blood Sugar Support,1,0.006172839506,0.0004987531172
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Abnormal glucose,Blood Sugar Support,1,0.004098360656,0.0004987531172
Vitamins & minerals,Vitamins,Vitamin A,Retinyl palmitate,Retinyl palmitate,Abnormal glucose,Blood Sugar Support,1,0.01351351351,0.0004987531172
Nutritional supplements,Collagen & protein,Plant protein,Rice proteins,Rice proteins,Abnormal glucose,Blood Sugar Support,1,0.1,0.0004987531172
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,Abnormal glucose,Blood Sugar Support,1,0.003802281369,0.0004987531172
Nutritional supplements,Probiotics,Saccharomyces,,Saccharomyces,Abnormal glucose,Blood Sugar Support,1,0.002421307506,0.0004987531172
Herbal/Botanicals,Herbs,Saw palmetto,,Saw palmetto,Abnormal glucose,Blood Sugar Support,1,0.01123595506,0.0004987531172
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,Abnormal glucose,Blood Sugar Support,1,0.006993006993,0.0004987531172
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Abnormal glucose,Blood Sugar Support,1,0.001207729469,0.0004987531172
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Spirulina,Spirulina,Abnormal glucose,Blood Sugar Support,1,0.09090909091,0.0004987531172
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,Abnormal glucose,Blood Sugar Support,1,0.001497005988,0.0004987531172
Vitamins & minerals,Minerals,Strontium,Strontium citrate,Strontium citrate,Abnormal glucose,Blood Sugar Support,1,0.01492537313,0.0004987531172
Conditions & formulations,Endocrine & hormonal health,Testosterone support,,Testosterone support,Abnormal glucose,Blood Sugar Support,1,0.007575757576,0.0004987531172
Vitamins & minerals,Vitamins,Vitamin B7 (Biotin),,Vitamin B7 (Biotin),Abnormal glucose,Blood Sugar Support,1,0.01785714286,0.0004987531172
Herbal/Botanicals,Herbs,Vitex (Chasteberry),,Vitex (Chasteberry),Abnormal glucose,Blood Sugar Support,1,0.004081632653,0.0004987531172
Homeopathy,Homeopathic remedies,Weight management (Homeopathic),,Weight management (Homeopathic),Abnormal glucose,Blood Sugar Support,1,0.25,0.0004987531172
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Abnormal glucose,Blood Sugar Support,1,0.003745318352,0.0004987531172
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Abnormal lactation,Breast & Lactation Support,2,0.002049180328,0.05882352941
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Abnormal lactation,Breast & Lactation Support,2,0.001823154057,0.05882352941
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Abnormal lactation,Breast & Lactation Support,2,0.004524886878,0.05882352941
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Abnormal lactation,Breast & Lactation Support,2,0.0003459609064,0.05882352941
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Abnormal lactation,Breast & Lactation Support,1,0.0003387533875,0.02941176471
Herbal/Botanicals,Herbs,Bacopa,,Bacopa,Abnormal lactation,Breast & Lactation Support,1,0.02631578947,0.02941176471
Herbal/Botanicals,Herbs,Berberis (Berberine),,Berberis (Berberine),Abnormal lactation,Breast & Lactation Support,1,0.0003709198813,0.02941176471
Nutritional supplements,Enzymes,Digestive enzymes,Bile,Bile,Abnormal lactation,Breast & Lactation Support,1,0.005813953488,0.02941176471
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Abnormal lactation,Breast & Lactation Support,1,0.00325732899,0.02941176471
Conditions & formulations,Women's health,Breast & lactation support,,Breast & lactation support,Abnormal lactation,Breast & Lactation Support,1,0.05263157895,0.02941176471
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Abnormal lactation,Breast & Lactation Support,1,0.007936507937,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,Charcoal,,Charcoal,Abnormal lactation,Breast & Lactation Support,1,0.01785714286,0.02941176471
Nutritional supplements,Probiotics,Children's probiotics,,Children's probiotics,Abnormal lactation,Breast & Lactation Support,1,0.008849557522,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,Choline,,Choline,Abnormal lactation,Breast & Lactation Support,1,0.01538461538,0.02941176471
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Abnormal lactation,Breast & Lactation Support,1,0.0006868131868,0.02941176471
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Abnormal lactation,Breast & Lactation Support,1,0.001879699248,0.02941176471
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Abnormal lactation,Breast & Lactation Support,1,0.0002514458134,0.02941176471
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Abnormal lactation,Breast & Lactation Support,1,0.008403361345,0.02941176471
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Abnormal lactation,Breast & Lactation Support,1,0.0007256894049,0.02941176471
Conditions & formulations,Neurocognitive health & sleep,Mood support,,Mood support,Abnormal lactation,Breast & Lactation Support,1,0.006211180124,0.02941176471
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Abnormal lactation,Breast & Lactation Support,1,0.00103950104,0.02941176471
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Abnormal lactation,Breast & Lactation Support,1,0.000466853408,0.02941176471
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,Abnormal lactation,Breast & Lactation Support,1,0.005882352941,0.02941176471
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Other plant omegas,Other plant omegas,Abnormal lactation,Breast & Lactation Support,1,0.01724137931,0.02941176471
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Abnormal lactation,Breast & Lactation Support,1,0.01351351351,0.02941176471
Nutritional supplements,Other metabolites & bioactive compounds,PQQ,,PQQ,Abnormal lactation,Breast & Lactation Support,1,0.07692307692,0.02941176471
